date,model,actual,forecast
2024-04-26,persistence,41.80000000,41.90000000
2024-04-27,persistence,41.60000000,41.80000000
2024-04-28,persistence,41.40000000,41.60000000
2024-04-29,persistence,41.30000000,41.40000000
2024-04-30,persistence,40.20000000,41.30000000
2024-05-01,persistence,41.10000000,40.20000000
2024-05-02,persistence,42.70000000,41.10000000
2024-05-03,persistence,42.70000000,42.70000000
2024-05-04,persistence,42.60000000,42.70000000
2024-05-05,persistence,42.30000000,42.60000000
2024-05-06,persistence,42.20000000,42.30000000
2024-05-07,persistence,41.90000000,42.20000000
2024-05-08,persistence,41.70000000,41.90000000
2024-05-09,persistence,41.50000000,41.70000000
2024-05-10,persistence,41.20000000,41.50000000
2024-05-11,persistence,41.00000000,41.20000000
2024-05-12,persistence,40.80000000,41.00000000
2024-05-13,persistence,40.50000000,40.80000000
2024-05-14,persistence,40.10000000,40.50000000
2024-05-15,persistence,41.20000000,40.10000000
2024-05-16,persistence,42.60000000,41.20000000
2024-05-17,persistence,43.20000000,42.60000000
2024-05-18,persistence,44.70000000,43.20000000
2024-05-19,persistence,44.50000000,44.70000000
2024-05-20,persistence,45.80000000,44.50000000
2024-05-21,persistence,50.40000000,45.80000000
2024-05-22,persistence,48.00000000,50.40000000
2024-05-23,persistence,48.50000000,48.00000000
2024-04-26,nbeatsx_lstm,41.80000000,41.83276400
2024-04-27,nbeatsx_lstm,41.60000000,41.63843500
2024-04-28,nbeatsx_lstm,41.40000000,41.47916400
2024-04-29,nbeatsx_lstm,41.30000000,41.14953600
2024-04-30,nbeatsx_lstm,40.20000000,41.23587400
2024-05-01,nbeatsx_lstm,41.10000000,41.36516600
2024-05-02,nbeatsx_lstm,42.70000000,39.91423800
2024-05-03,nbeatsx_lstm,42.70000000,40.91834000
2024-05-04,nbeatsx_lstm,42.60000000,42.32797200
2024-05-05,nbeatsx_lstm,42.30000000,42.54802300
2024-05-06,nbeatsx_lstm,42.20000000,42.34144000
2024-05-07,nbeatsx_lstm,41.90000000,42.09719000
2024-05-08,nbeatsx_lstm,41.70000000,41.82343300
2024-05-09,nbeatsx_lstm,41.50000000,41.47335000
2024-05-10,nbeatsx_lstm,41.20000000,41.24790600
2024-05-11,nbeatsx_lstm,41.00000000,40.96507600
2024-05-12,nbeatsx_lstm,40.80000000,40.76791000
2024-05-13,nbeatsx_lstm,40.50000000,40.58037600
2024-05-14,nbeatsx_lstm,40.10000000,40.51201000
2024-05-15,nbeatsx_lstm,41.20000000,40.20212600
2024-05-16,nbeatsx_lstm,42.60000000,41.85524400
2024-05-17,nbeatsx_lstm,43.20000000,41.12413000
2024-05-18,nbeatsx_lstm,44.70000000,42.17765400
2024-05-19,nbeatsx_lstm,44.50000000,42.60577000
2024-05-20,nbeatsx_lstm,45.80000000,44.19961500
2024-05-21,nbeatsx_lstm,50.40000000,50.23824300
2024-05-22,nbeatsx_lstm,48.00000000,45.81340400
2024-05-23,nbeatsx_lstm,48.50000000,50.23999000
2024-04-26,nbeatsx,41.80000000,44.07648000
2024-04-27,nbeatsx,41.60000000,41.87075800
2024-04-28,nbeatsx,41.40000000,41.80197500
2024-04-29,nbeatsx,41.30000000,41.03428600
2024-04-30,nbeatsx,40.20000000,40.73836000
2024-05-01,nbeatsx,41.10000000,41.16614000
2024-05-02,nbeatsx,42.70000000,40.10265400
2024-05-03,nbeatsx,42.70000000,40.79751000
2024-05-04,nbeatsx,42.60000000,42.22746000
2024-05-05,nbeatsx,42.30000000,42.34765200
2024-05-06,nbeatsx,42.20000000,41.76322600
2024-05-07,nbeatsx,41.90000000,42.52207000
2024-05-08,nbeatsx,41.70000000,41.96898700
2024-05-09,nbeatsx,41.50000000,41.28875000
2024-05-10,nbeatsx,41.20000000,40.55992500
2024-05-11,nbeatsx,41.00000000,41.53734200
2024-05-12,nbeatsx,40.80000000,40.45698000
2024-05-13,nbeatsx,40.50000000,40.28697600
2024-05-14,nbeatsx,40.10000000,40.39652000
2024-05-15,nbeatsx,41.20000000,39.95989600
2024-05-16,nbeatsx,42.60000000,42.75183500
2024-05-17,nbeatsx,43.20000000,41.05461000
2024-05-18,nbeatsx,44.70000000,42.53187000
2024-05-19,nbeatsx,44.50000000,43.93557700
2024-05-20,nbeatsx,45.80000000,44.96320700
2024-05-21,nbeatsx,50.40000000,45.26273300
2024-05-22,nbeatsx,48.00000000,47.63978000
2024-05-23,nbeatsx,48.50000000,48.48166700
2024-04-26,lstm,41.80000000,41.17134500
2024-04-27,lstm,41.60000000,41.22764600
2024-04-28,lstm,41.40000000,37.07578700
2024-04-29,lstm,41.30000000,37.46365400
2024-04-30,lstm,40.20000000,38.11123300
2024-05-01,lstm,41.10000000,41.01868000
2024-05-02,lstm,42.70000000,41.21401200
2024-05-03,lstm,42.70000000,42.25341000
2024-05-04,lstm,42.60000000,43.24934400
2024-05-05,lstm,42.30000000,43.52793000
2024-05-06,lstm,42.20000000,43.00155000
2024-05-07,lstm,41.90000000,42.16740000
2024-05-08,lstm,41.70000000,40.79034000
2024-05-09,lstm,41.50000000,40.19194400
2024-05-10,lstm,41.20000000,40.64290600
2024-05-11,lstm,41.00000000,40.24189800
2024-05-12,lstm,40.80000000,40.45656600
2024-05-13,lstm,40.50000000,41.95825000
2024-05-14,lstm,40.10000000,42.82665600
2024-05-15,lstm,41.20000000,43.85418300
2024-05-16,lstm,42.60000000,48.07456600
2024-05-17,lstm,43.20000000,48.27449000
2024-05-18,lstm,44.70000000,47.12295000
2024-05-19,lstm,44.50000000,45.87154400
2024-05-20,lstm,45.80000000,44.91948300
2024-05-21,lstm,50.40000000,49.15587600
2024-05-22,lstm,48.00000000,48.79613000
2024-05-23,lstm,48.50000000,47.78470200
2024-04-26,tcn,41.80000000,41.68667600
2024-04-27,tcn,41.60000000,41.86063400
2024-04-28,tcn,41.40000000,39.27643200
2024-04-29,tcn,41.30000000,40.78327000
2024-04-30,tcn,40.20000000,42.83002500
2024-05-01,tcn,41.10000000,46.06664000
2024-05-02,tcn,42.70000000,45.63030200
2024-05-03,tcn,42.70000000,45.12430000
2024-05-04,tcn,42.60000000,45.84830000
2024-05-05,tcn,42.30000000,45.19753300
2024-05-06,tcn,42.20000000,43.30876500
2024-05-07,tcn,41.90000000,45.73366000
2024-05-08,tcn,41.70000000,43.08148000
2024-05-09,tcn,41.50000000,41.92049000
2024-05-10,tcn,41.20000000,41.93820600
2024-05-11,tcn,41.00000000,42.99011200
2024-05-12,tcn,40.80000000,41.46914700
2024-05-13,tcn,40.50000000,43.09394500
2024-05-14,tcn,40.10000000,43.65639000
2024-05-15,tcn,41.20000000,42.86122500
2024-05-16,tcn,42.60000000,48.48172400
2024-05-17,tcn,43.20000000,46.59860600
2024-05-18,tcn,44.70000000,46.15352000
2024-05-19,tcn,44.50000000,44.10572400
2024-05-20,tcn,45.80000000,47.07728000
2024-05-21,tcn,50.40000000,48.39587800
2024-05-22,tcn,48.00000000,47.12296300
2024-05-23,tcn,48.50000000,47.37285000
